category,question,answer
coral fungus,Where do most of the coral fungus grow?,ground
agaric,Where is the agaric seen usually?,forest
stinkhorn,Where do the stinkhorns grow from?,ground
earthstar,Does the earthstar live in water?,no
earthstar,Where does the earthstar grow?,ground
hen-of-the-woods,Do hen-of-the-woods live in the water?,no
hen-of-the-woods,Where do hen-of-the-woods grow?,ground
bolete,Where does the bolete grow?,ground
great white shark,How many pectoral fins does a great white shark have?,2
cock,How many toes does a cock have on each of its feet?,4
hen,How many legs does a hen have?,2
brambling,How many legs does the brambling have?,2
kite,How many wings does a kite have?,2
bald eagle,How many wings does the bald eagle have?,2
vulture,How many legs does a vulture have?,2
European fire salamander,How many legs does a European fire salamander have?,4
tailed frog,How many legs for tailed frogs have?,4
box turtle,How many legs does the box turtle have?,4
banded gecko,How many fingers does the banded gecko have?,5
common iguana,How many legs does a common iguana have?,4
American chameleon,How many legs does the American chameleon have?,4
whiptail,How many legs does a whiptail have?,4
frilled lizard,How many legs does the frilled lizard have?,4
frilled lizard,How many toes does the frilled lizard have?,5
alligator lizard,How many legs does an alligator lizard have?,4
African chameleon,How many legs does an African chameleon have?,4
African crocodile,How many legs does the African crocodile have?,4
triceratops,How many horns does the triceratops have?,3
scorpion,How many legs does a scorpion have?,8
scorpion,How many claws does a scorpion have?,2
black and gold garden spider,How many legs does a black and gold garden spider have?,8
barn spider,How many legs does a barn spider have?,8
garden spider,How many legs does the garden spider have?,8
black widow,How many legs does a black widow have?,8
tarantula,How many legs does a tarantula have?,8
wolf spider,How many legs does a wolf spider have?,8
tick,How many legs a tick has?,6
coucal,How many legs does a coucal have?,2
jacamar,How many legs does a jacamar have?,2
drake,How many legs do drakes have?,2
goose,How many legs does the goose have?,2
platypus,How many legs does the platypus have?,4
wallaby,How many legs does a wallaby have?,4
wombat,How many legs does a wombat have?,4
snail,How many tentacles does a snail have?,4
rock crab,How many legs does a rock crab have?,8
fiddler crab,How many claws does the fiddler crab have?,2
fiddler crab,how many legs does the fiddler crab have?,8
king crab,How many legs does a king crab have?,8
American lobster,How many claws does an American lobster have?,2
American lobster,How many pairs of antennas does an American lobster have?,3
spiny lobster,How many antennas does a spiny lobster have?,4
limpkin,How many legs does a limpkin have?,2
ruddy turnstone,How many paws does a ruddy turnstone have?,2
dugong,How many flippers does a dugong have?,2
black-and-tan coonhound,How many legs does the black-and-tan coonhound have?,4
whippet,How many legs does the whippet have?,4
Weimaraner,How many legs does the Weimaraner have?,4
Border terrier,How many legs does the Border terrier have?,4
Airedale,How many legs does the Airedale have?,4
Australian terrier,How many legs does the Australian Terrier have?,4
Tibetan terrier,How many ears does the Tibetan terrier have?,2
Chesapeake Bay retriever,How many legs does the Chesapeake Bay retriever have?,4
Sussex spaniel,How many legs does the Sussex spaniel have?,4
Irish water spaniel,How many legs does the Irish water spaniel have?,4
kelpie,How many paws does the kelpie have?,4
collie,How many legs does the collie have?,4
Doberman,How many legs does the Doberman have?,4
boxer,How many paws does the boxer have?,4
Tibetan mastiff,How many legs does the Tibetan mastiff have?,4
Great Dane,How many legs does a Great Dane have?,4
affenpinscher,How many legs does the affenpinscher have?,4
chow,How many legs does the chow have?,4
dhole,How many legs does the dhole have?,4
red fox,How many eyes does the red fox have?,2
Egyptian cat,How many tails does the Egyptian cat have?,1
sloth bear,How many legs does a sloth bear have?,4
meerkat,How many legs does the meerkat have?,4
tiger beetle,How many legs does a tiger beetle have?,6
tiger beetle,How many pairs of antennas does a tiger beetle have?,1
long-horned beetle,How many legs does a long-horned beetle have?,6
long-horned beetle,How many antennae does the long-horned beetle have?,2
leaf beetle,How many legs does a leaf beetle have?,6
dung beetle,How many legs does a dung beetle have?,6
rhinoceros beetle,How many legs does a rhinoceros beetle have?,6
weevil,How many antennae does the weevil have?,2
weevil,How many legs does a weevil have?,6
fly,How many legs does a fly have?,6
fly,How many wings does a fly have?,2
ant,how many legs does the ant have?,6
ant,How many antennas does the ant have?,2
grasshopper,How many legs does a grasshopper have?,6
grasshopper,How many antennas does a grasshopper have?,2
cricket,How many legs does the cricket have?,6
walking stick,How many legs does a walking stick have?,6
walking stick,How many pairs of antennas does a walking stick have?,1
cockroach,How many legs does a cockroach have?,6
cockroach,How many elongation parts does the cockroach have?,2
mantis,How many legs does the mantis have?,6
mantis,How many antennas does a mantis have?,2
cicada,How many wings does a cicada have?,2
cicada,How many legs do cicadas have?,6
lacewing,How many legs does a lacewing have?,6
dragonfly,How many wings does the dragonfly have?,4
dragonfly,How many legs does a dragonfly have?,6
dragonfly,How many eyes does a dragonfly have?,2
damselfly,How many legs does the damselfly have?,6
admiral,How many antennae does the admiral have?,2
cabbage butterfly,How many wings does a cabbage butterfly have?,4
sulphur butterfly,How many wings does sulphur butterfly have?,2
sulphur butterfly,How many antennas does a sulphur butterfly have?,2
starfish,How many legs does a starfish have?,5
porcupine,How many legs does a porcupine have?,4
guinea pig,How many legs does a guinea pig have?,4
zebra,How many hooves does a zebra have?,4
hog,How many legs do hogs have?,4
wild boar,How many tusks do wild boars have?,2
ox,How many horns does an ox have?,2
water buffalo,How many horns does a water buffalo have?,2
bison,How many horns does a bison have?,2
ibex,How many horns does the ibex have?,2
hartebeest,How many trunks does a hartebeest have?,2
hartebeest,How many antlers does a hartebeest have?,2
impala,How many horns does the impala have?,2
gazelle,How many horns does the gazelle have?,2
gazelle,How many legs does the gazelle have?,4
llama,How many ears does the llama have?,2
armadillo,How many legs does the armadillo have?,4
baboon,How many legs does a baboon have?,4
indri,How many legs does an indri have?,4
African elephant,How many tusks does the African elephant have?,2
acoustic guitar,How many strings does an acoustic guitar have?,6
airliner,How many tyres does an airliner have?,3
ambulance,How many wheels does the ambulance have?,4
barometer,How many pointers does a barometer have?,2
barrow,How many wheels does the barrow have?,1
bathtub,How many bathtubs are there in a bathroom?,1
beach wagon,How many tires does the beach wagon have?,4
bicycle-built-for-two,How many wheels does a bicycle-built-for-two have?,2
bicycle-built-for-two,How many seats does a bicycle-built-for-two have?,2
bicycle-built-for-two,How many petals does a bicycle-built-for-two have?,4
bikini,How many parts does a bikini have?,2
binoculars,How many lenses does the binoculars have?,2
bolo tie,How many ends does a bolo tie have?,2
cash machine,How many screens do cash machines have?,1
cassette,How many holes does a cassette have in the body?,2
cornet,How many buttons does a cornet have?,3
crib,How many feet does the crib have?,4
dining table,How many legs does a dining table have in minimum?,4
drumstick,How many drumsticks are used to play a drum?,2
forklift,How many tips does a forklift traditionally have?,2
four-poster,How many legs does a four-poster have?,4
French horn,How many mouthpieces does a French horn have?,1
go-kart,How many wheels does the go-kart have?,4
go-kart,How many people can sit in a go-kart for a race?,1
golfcart,How many wheels does a golfcart have?,4
hand-held computer,How many screens does a hand-held computer have?,1
horizontal bar,How many poles support a horizontal bar?,2
lawn mower,How many wheels do most of the lawn mowers have?,4
minivan,How many doors does a minivan have?,4
minivan,How many wheels does a minivan have?,4
Model T,How many wheels does a Model T have?,4
moped,How many wheels does a moped have?,2
mountain bike,How many wheels does a mountain bike have?,2
oxcart,How many wheels does the oxcart have in most cases?,2
parallel bars,How many bars are needed to characterize parallel bars?,2
pickup,How many wheels does a pickup have?,4
piggy bank,How many legs does a piggy bank have?,4
racer,How many tyres does a racer car have?,4
shopping cart,How many wheels do most shopping carts have?,4
sleeping bag,How many people can fit in most sleeping bags?,1
speedboat,How many people does the speedboat have space for?,2
sunglasses,How many lenses do sunglasses have?,2
switch,How many positions does the switch have?,2
tow truck,How many wheels are there in the tow truck?,4
tractor,How many wheels do most tractors have?,4
tricycle,How many wheels does a tricycle have?,3
tripod,How many legs does a tripod have?,3
trombone,How many U-turns are on the trombone?,2
unicycle,How many wheels does a unicycle have?,1
unicycle,How many people can use the unicycle at the same time?,1
wall clock,How many needles does a wall clock have?,3
yurt,How many doors does the yurt have?,1
ground beetle,How many legs does the ground beetle have?,6
ground beetle,How many antennas does a ground beetle have?,2
ostrich,Is the face and neck of an ostrich mostly bare?,yes
junco,Is the junco shaped like a round body?,yes
jay,"Does the jay contain a mixed color of blue, black, and white on the body?",yes
bald eagle,Is the bald eagle's beak yellow in color?,yes
vulture,Are vultures found in the sea?,no
great grey owl,Is the shape of the head of the great grey owl triangle?,no
European fire salamander,How is the skin of the European fire salamander?,smooth
European fire salamander,Is the skin of the European fire salamander very tough?,no
spotted salamander,Does the spotted salamander have rough skin?,no
bullfrog,Are the bullfrogs' eyes bulging?,yes
bullfrog,What is the color of the bullfrog's eye?,black
leatherback turtle,Is the plastron of a leatherback turtle covered by rubbery skin?,yes
terrapin,Are the terrapin's shells soft?,no
box turtle,Does the box turtle's shell look smooth or rough?,rough
agama,Is the agama colorful?,yes
Gila monster,Does the Gila monster have smooth skin?,no
Gila monster,Is the Gila monster a reptile?,yes
African chameleon,Is the skin of an African chameleon colorful?,yes
African crocodile,Does the African crocodile have many ridges on its back?,yes
thunder snake,Is the thunder snake straight?,no
thunder snake,Is the thunder snake yellow?,no
thunder snake,What is the size of the thunder snake?,small
ringneck snake,Which part of the ringneck snake has the ring pattern?,top
green snake,What is the body type of the green snake?,long
king snake,Are king snakes colorful?,yes
Indian cobra,Is the head of the Indian cobra erect?,yes
sea snake,Is the sea snake limbless?,yes
sea snake,Are the sea snakes found in both the land and the sea?,yes
black and gold garden spider,Is the body of the black and gold garden spider round?,yes
barn spider,Do barn spiders make webs?,yes
garden spider,Are there two color combinations on the legs of a garden spider?,yes
black widow,What shape is the end of a black widow?,circle
black widow,How many colors are on the black widow's body?,2
tarantula,What covers a tarantula’s body?,feathers
centipede,Is the centipede composed of many segments?,yes
peacock,Are there colored eyespots on the peacock's tail?,yes
macaw,Does the macaw have colorful feathers?,yes
macaw,Is the mouth of a macaw like a hook?,yes
bee eater,Is the bee eater colourful?,yes
hornbill,Is red one of the brightest colors on a hornbill?,yes
hornbill,Does the hornbill have yellow feathers?,no
hornbill,Does the hornbill have a blue beak?,no
jacamar,What are on the jacamar’s wings?,feathers
jacamar,Does the jacamar have a horn?,no
toucan,Does a toucan's beak have a single color?,no
red-breasted merganser,Is the head color of the red-breasted merganser black?,yes
black swan,Is the black swan's beak red with a white tip?,yes
tusker,Is the tusker's tusk curvy?,yes
koala,What is the koala's eye color?,black
jellyfish,What is the shape of a jellyfish?,circle
sea anemone,Are sea anemones found on the land?,no
sea anemone,Are sea anemones in one color?,no
brain coral,Is the brain coral textured?,yes
flatworm,What's the shape of the flatworm?,circle
conch,Is a conch bumpy?,yes
chiton,Does the chiton have a rough or smooth exterior?,rough
chiton,Where does the chiton live?,outside
chambered nautilus,What shape is the shell of the chambered nautilus?,circle
Dungeness crab,Does the Dungeness crab have a horn?,no
fiddler crab,Does a fiddler crab have eyes?,yes
crayfish,Is the crayfish have a soft shell?,no
flamingo,What is covering the skin of a flamingo?,feathers
pelican,Which is the suitable abode for pelicans?,water
killer whale,Is the killer whale red?,no
Pekinese,Is the Pekinese fluffly?,yes
Blenheim spaniel,What is a Blenheim spaniel covered in?,fur
toy terrier,Is the toy terrier red?,no
Rhodesian ridgeback,What color eyes do Rhodesian ridgebacks have?,brown
Afghan hound,What environment does an Afghan hound live in?,outside
beagle,Are the beagle's ears saggy?,yes
beagle,Are the beagle's ears round?,no
bloodhound,Are bloodhounds lop-eared?,yes
bloodhound,Does the bloodhound have a straight tail?,no
bloodhound,Does the bloodhound have a round body?,no
borzoi,Is the borzoi a little lop-eared?,yes
Italian greyhound,What is the living environment of the Italian greyhound?,outside
Ibizan hound,Is the Ibizan hound lean?,yes
Ibizan hound,Does the Ibizan hound have pointed ears?,yes
otterhound,Are the otterhound's ears folded?,yes
Weimaraner,Is the ear of the Weimaraner drooping?,yes
Weimaraner,Does a Weimaraner have round-shaped eyes?,no
Yorkshire terrier,Do the Yorkshire terriers look scruffy?,yes
Sealyham terrier,Does a Sealyham terrier have black eyes?,yes
Airedale,Does the Airedale have a lot of hair?,yes
Airedale,Does the Airedale have colourful hair?,no
Tibetan terrier,Is the Tibetan terrier’s fur soft or rough?,soft
Tibetan terrier,Is the Tibetan terrier in one color?,no
soft-coated wheaten terrier,Is the coat of the soft-coated wheaten terrier soft?,yes
soft-coated wheaten terrier,Is the fur of the soft-coated wheaten terrier smooth?,no
curly-coated retriever,Does a curly-coated retriever have smooth or rough fur?,rough
Chesapeake Bay retriever,Is the coat of a Chesapeake Bay retriever hard or soft?,soft
vizsla,Is the vizsla dog black usually?,no
Brittany spaniel,Are the ears of a Brittany spaniel soft?,yes
clumber,What is the color of the nose of the clumber?,brown
English springer,What is the color of the English springer's nose?,brown
English springer,Are the English springer’s ears pointed down?,yes
cocker spaniel,Does a cocker spaniel have a colorful body?,no
Irish water spaniel,Does an Irish water spaniel have straight fur?,no
kuvasz,Is a kuvasz's color black?,no
groenendael,What is the color of the eyelid of the groenendael?,black
groenendael,Is the fur of a Groenendael soft or hard?,soft
collie,What color is the eye of the collie?,black
Bouvier des Flandres,Does the Bouvier des Flandres has a black tail?,yes
EntleBucher,"Is the EntleBucher a white, black, and tan dog?",yes
bull mastiff,Are the bull mastiff's ears folded?,yes
Great Dane,Is a Great Dane black?,no
Great Dane,Is the Great Dane spotted?,yes
malamute,Is malamute a dog?,yes
Siberian husky,Is the ear of the Siberian husky erect?,yes
Siberian husky,Is the color of the Siberian husky single?,no
affenpinscher,Does the affenpinscher have the wings?,no
Leonberg,Does the Leonberg have a light-colored snout?,no
Samoyed,Are the Samoyed's paws black?,no
keeshond,What color are the keeshond’s eyes?,brown
standard poodle,Are the ears of the standard poodle drooping?,yes
standard poodle,Is the color of the standard poodle white?,no
white wolf,What is a white wolf covered in?,fur
kit fox,Is the color of the kit fox black?,no
tiger cat,Are tiger cats fluffy?,yes
Siamese cat,Is the Siamese cat hairless?,no
lynx,What pattern does the lynx have?,stripes
snow leopard,Are the snow leopard purely white?,no
cheetah,Do cheetahs have triangle ears?,no
American black bear,Is the American black bear wild or domestic?,wild
ice bear,Can ice bears be found on the snowfield?,yes
mongoose,What covers the skin of a mongoose?,fur
tiger beetle,How many antennas does a tiger beetle have?,2
ground beetle,How many colors are there in ground beetles?,2
ground beetle,Does the ground beetle have a hard or soft shell?,hard
dung beetle,Is the dung beetle's shell shining?,yes
weevil,Is the body of the weevil hard or soft?,hard
walking stick,Is the walking stick green in color?,no
walking stick,How many antennas does a walking stick have?,2
cicada,Are the cicada's wings spotted?,no
lacewing,Do lacewings have a tail?,no
dragonfly,Are there 6 wings on a dragonfly?,no
admiral,Does the admiral have colorful wings?,yes
monarch,Do the edges of the monarch's wings look sharp or smooth?,smooth
sulphur butterfly,Are the wings of the sulphur butterfly spotted?,yes
wood rabbit,Is the ear of the wood rabbit erect?,yes
wood rabbit,Is the wood rabbit hairless?,no
hare,What is the color of the hare's eyes?,brown
hare,Is the fur of the hare soft?,yes
hare,Does the hare have four legs or not?,yes
hare,Are the hare's ears drooping?,no
porcupine,Does a porcupine have spines on its back?,yes
porcupine,Does the porcupine have a tail?,yes
marmot,Could the marmot fly?,no
zebra,What pattern does a zebra have?,stripes
wild boar,Is the fur of a wild boar rough or soft?,rough
ibex,Does the ibex have round ears?,no
hartebeest,Do hartebeests have antlers?,yes
hartebeest,Is the shape of hartebeest's body round?,no
hartebeest,Is the color of hartebeest's body blue?,no
mink,What is the mink's main habitat?,forest
otter,What do otters have on their skin?,fur
otter,Is the otter colorful?,no
badger,Does a badger have a tail?,yes
armadillo,Does an armadillo have a round face?,no
chimpanzee,What is the texture of a chimpanzee's fur?,soft
siamang,Is the siamang having the same body colour around the mouth and chin?,no
capuchin,What is the capuchin's skin covered with?,fur
howler monkey,Is the fur of the howler monkey green or brown?,brown
indri,What kind of pattern is on the indri's tail?,stripes
eel,Does the eel have a colorful body?,no
eel,Does the eel have a flat body?,yes
rock beauty,Is the rock beauty colorful?,yes
rock beauty,What is the shape of the rock beauty fish?,circle
sturgeon,Does the sturgeon have smooth skin?,yes
gar,Is the gar's mouth pointed?,yes
abaya,Is the abaya worn by women?,yes
abaya,Is the abaya worn by men?,no
abaya,Does an abaya have an opening?,yes
abaya,Does the abaya have designs in it?,yes
accordion,Does the accordion contain many buttons and keys?,yes
acoustic guitar,Does an acoustic guitar have a neck?,yes
aircraft carrier,Is the aircraft carrier made of wood?,no
aircraft carrier,Does the aircraft carrier travel on the land?,no
ambulance,Does the ambulance have wooden doors?,no
ambulance,Is the ambulance convertible?,no
amphibian,Is an amphibian made of metal?,yes
apiary,Are bees kept in an apiary?,yes
apiary,Is the apiary rectangular?,yes
apron,Is the apron worn on the front or back of the body?,front
ashcan,Does the ashcan have any defined colors?,no
assault rifle,Is the assault rifle wooden?,no
backpack,Where do people carry a backpack?,outside
backpack,Does the backpack have screens?,no
balance beam,Are balance beams used in gymnastics?,yes
balance beam,Is the balance beam hard?,yes
balance beam,Is the balance beam curved?,no
balloon,Can balloons fly in the air?,yes
Band Aid,Does the band aid have a hard texture?,no
bannister,Is a bannister often built by the side of stairs?,yes
barbell,Are most of the weights of the barbell black in color?,yes
barbell,Is a barbell made of iron?,yes
barber chair,Do barber chairs have screens?,no
barber chair,Is the bottom of the barber chairs slanted?,no
barn,What does the barn sit on?,grass
barrel,Can barrels be made of metal?,yes
bassinet,What is a bassinet used to keep?,baby
bassoon,Is the bassoon a musical instrument?,yes
bassoon,Is the bassoon played with mouth?,yes
bassoon,Is the bassoon a vehicle?,no
bath towel,Is a bath towel made of cotton?,yes
bath towel,Are bath towels soft?,yes
bath towel,Are bath towels hard?,no
bathtub,Are bathtubs generally white in color?,yes
beach wagon,Does the beach wagon have head lights?,yes
beach wagon,Is the shape of the beach wagon round?,no
beaker,Is the beaker cylindrical or conical?,yes
beaker,Does a beaker have lines and numbers on its side?,yes
bearskin,Are bearskins typically round?,yes
bearskin,Is a bearskin made of wool?,no
beer glass,Is most beer glasses white?,no
bib,Is the bib in various colours?,yes
bicycle-built-for-two,What's the chain made out of on the bicycle-built-for-two?,metal
binder,Are binders made of wood?,no
birdhouse,Are birdhouses placed in water?,no
birdhouse,Is the birdhouse made of cloth?,no
boathouse,Does the boathouse have steel doors?,no
bobsled,Is a bobsled ridden by humans?,yes
bobsled,Is a bobsled ridden by a horse?,no
bolo tie,Is the bolo tie worn on the hand?,no
bonnet,What part of the body do people wear a bonnet on?,head
bonnet,Is the top of the bonnet round?,yes
bonnet,Is the bonnet made of cotton?,yes
bonnet,What does a bonnet cover?,hair
bookcase,Is a bookcase rectangular?,yes
bookcase,What is generally kept in the bookcase?,books
bookshop,What is sold in a bookshop?,books
bookshop,Are books kept in the bookshops visible ?,yes
bottlecap,Is the bottlecap transparent?,no
bow,Are some bows made of wood?,yes
bow,Are bows used in water?,no
bow tie,Which part of the body is a bow tie worn around?,neck
bow tie,Does the bow tie make people look more formal?,yes
brassiere,Over which body part do women wear the brassiere?,chest
breakwater,Is the breakwater constructed near the coast?,yes
breastplate,Which part of the body does a breastplate protect?,chest
broom,Can broom be made of plastic?,yes
buckle,Is there a carving on the surface of the buckle?,yes
buckle,Is the buckle white?,no
cab,Where does the cab mostly run through?,road
caldron,Is the caldron made of metal?,yes
candle,Are candles rectangle in shape?,no
can opener,Does the can opener have screens?,no
car mirror,Are the car mirrors made of convex mirrors?,yes
carton,Does the carton have screens?,no
cash machine,Does the cash machine have a round screen?,no
catamaran,Are there walls around the catamaran?,no
cellular telephone,Are cellular telephones made of plastic?,no
chain,Does the chain have soft woolen parts?,no
chain saw,Do chain saws have blue color?,no
chiffonier,Are chiffoniers indoors?,yes
chiffonier,Are chiffoniers outdoors?,no
chime,Is the chime made of metal?,yes
china cabinet,Is a china cabinet rectangular?,yes
china cabinet,Is the bottom of the china cabinet sharp?,no
Christmas stocking,Does a Christmas stocking have an opening?,yes
Christmas stocking,Does the Christmas stocking come in various designs and patterns?,yes
cliff dwelling,Is the cliff dwelling rocky?,yes
cliff dwelling,Are cliff dwellings made of brick?,yes
clog,Are clogs painted?,yes
clog,Are clogs used on the hands?,no
clog,Are clogs clear?,no
coffee mug,Are most coffee mugs transparent?,no
coil,Is the coil circular?,yes
computer keyboard,Does the computer keyboard have a round shape?,no
confectionery,Is the confectionery colorful?,yes
confectionery,Does the confectionery sell in shops?,yes
confectionery,Does the confectionery have a single color?,no
confectionery,Does the confectionery sell in the library?,no
container ship,Does the container ship walk on rails?,no
corkscrew,Does a corkscrew have a spiral feature?,yes
corkscrew,Is the corkscrew a pointy object?,yes
cowboy boot,What body part does a cowboy boot cover?,feet
cowboy hat,Are cowboy hats meant to be worn on a person's head?,yes
cowboy hat,On which body part is the cowboy hat worn?,head
cradle,Is the cradle in the shape of a rectangle?,yes
cradle,What is inside the cradle?,baby
crane,Can the crane be carried on wheels?,yes
crate,Is the crate put in the water?,no
crib,Who sleeps in a crib?,baby
Crock Pot,Is the Crock Pot made of cloth?,no
crutch,Is the crutch silver?,yes
crutch,Do crutches have screens?,no
cuirass,Which part of the body does the cuirass protect?,chest
cuirass,Is a cuirass shiny?,yes
dam,Are dams constructed above rivers?,yes
dial telephone,Are there numbers on the dial telephone?,yes
dial telephone,Are dial telephones wired?,yes
dial telephone,Are most dial telephones wireless?,no
diaper,Is the diaper wrapped around the baby's bottoms?,yes
dining table,Does the dining table have any defined color?,no
dishwasher,Can dishwashers be in other colors than white?,yes
dishwasher,Can the dishwasher hold plates?,yes
dishwasher,Is the dishwasher red?,no
dock,What is the dock next to?,water
dogsled,Are dogsleds pulled by dogs?,yes
dogsled,Are dogsleds pulled by horses?,no
doormat,Are most doormats made of metal?,no
doormat,Are there designs on most doormats?,yes
drilling platform,Are drilling platforms made of wood?,no
dumbbell,Does a dumbbell have weights?,yes
electric locomotive,Does the electric locomotive have wipers at the front?,yes
envelope,Is the shape of the envelope rectangular?,yes
espresso maker,Is the espresso maker triangular?,no
flagpole,Does the flagpole get a specific colour?,no
flute,What part of the body do people use to play the flute?,mouth
flute,Are some flutes made of wood?,yes
folding chair,Are most of the folding chairs four-legged?,yes
football helmet,Are the football helmets made to fit over the legs?,no
fountain pen,Is the fountain pen made of wood?,no
freight car,Are freight cars fitted with wheels?,yes
freight car,Is there graffiti on many freight cars?,yes
French horn,Is a French horn colorful?,no
frying pan,Is the bottom of the frying pan a triangle?,no
fur coat,Can the fur coat cover heads?,no
gasmask,Does the gasmask cover both the nose and the mouth?,yes
gasmask,Does the gasmask go on the leg?,no
gasmask,Does the gasmask cover the hair?,no
gas pump,What are gas pumps made out of?,metal
golfcart,Does the golfcart have a steering wheel?,yes
gondola,Is the gondola made of paper?,no
gong,Is the gong a musical instrument?,yes
gong,How are gongs oriented?,vertical
gown,Does the gown cover the neck?,no
greenhouse,What can people find inside a greenhouse?,plants
grille,Which part of the car is the grille on?,front
grocery store,Are there fruits and vegetables in grocery stores?,yes
grocery store,Can people swim at a grocery store?,no
grocery store,Does a grocery store have many colorful dining tables?,no
guillotine,Does a guillotine have white color?,no
hair slide,Are hair slides made of metal and plastic?,yes
hair spray,Where do people put the hair spray on?,hair
hair spray,Does the hair spray have a nozzle?,yes
hand blower,Is the hand blower an electrical device?,yes
harmonica,Are harmonicas made of metal?,yes
harmonica,Is the harmonica rectangular?,yes
harmonica,Is the harmonica played with the mouth?,yes
harmonica,Is the harmonica made of cloth?,no
harmonica,Is the harmonica triangular?,no
harmonica,Is the harmonica played with the feet?,no
harp,Is the harp square?,no
hatchet,Is the hatchet handle made of plastic?,no
home theater,Can projectors be used in home theaters?,yes
home theater,Can the home theater be mounted on a wall?,yes
hook,Is the hook made up of metal?,yes
hook,Is the hook curved?,yes
hoopskirt,Is the hoopskirt fastened around the waist?,yes
horizontal bar,Are horizontal bars often used in gymnastics?,yes
horizontal bar,Is the horizontal bar held by the feet?,no
iPod,Is the iPod handheld?,yes
jack-o'-lantern,Does the jack-o'-lantern have cutting designs on it?,yes
jack-o'-lantern,Is the jack-o'-lantern black?,no
jeep,Is a jeep square?,yes
jeep,Is a jeep round?,no
jeep,Is a jeep made of wood?,no
jigsaw puzzle,Is the jigsaw puzzle properly arranged with irregularly shaped pieces?,yes
jigsaw puzzle,Does the jigsaw puzzle end up not forming a figure?,no
jinrikisha,Is the jinrikisha pulled by a person?,yes
jinrikisha,Is the jinrikisha made of plastic?,no
kimono,Is the kimono colorful and patterned?,yes
kimono,Which gender typically wears a kimono?,female
kimono,Is the kimono made of rubber?,no
knee pad,Is the knee pad flexible?,yes
knot,Is the knot made by rope?,yes
ladle,Is the surface of most ladles smooth?,yes
laptop,Is a laptop portable?,yes
lawn mower,Does the lawn mower have a door?,no
lens cap,What is the shape of the common lens caps?,circle
letter opener,Is the letter opener pointy?,yes
library,What is kept in a library?,books
library,Do people read books in the library?,yes
library,What do most of the libraries have inside?,books
lifeboat,What does a lifeboat travel on?,water
liner,Is the liner float?,yes
lipstick,Is the main raw material of lipsticks wax?,yes
lipstick,Is the lipstick made of cloth?,no
Loafer,On what part of the body does a person wear a loafer?,feet
Loafer,Is the loafer typically worn on the head?,no
Loafer,Is the loafer dark in colour?,yes
lumbermill,Do workers at the lumbermill cut the woods?,yes
lumbermill,Is the lumbermill located in the water?,no
magnetic compass,Are most magnetic compasses round?,yes
magnetic compass,Does the magnetic compass have moveable parts?,yes
mailbag,Is the mailbag mainly made of leather?,yes
maillot,Is the maillot made of fabric?,yes
maillot(swim),What gender is a maillot(swim) worn by?,female
maraca,Are maracas sphere-shaped?,yes
matchstick,Is the matchstick made of steel?,no
maypole,Is the position of the maypole vertical or horizontal?,vertical
maze,Are most mazes constructed outdoors?,yes
maze,Does a maze have many paths?,yes
measuring cup,Are there numbers on most measuring cups?,yes
measuring cup,Are most measuring cups opaque?,no
medicine chest,Is the medicine chest white?,no
megalith,Is the megalith made of stones?,yes
megalith,Are megaliths red?,no
microphone,"Are there two types of microphones, wired and wireless?",yes
microphone,Are microphones made of plastic?,no
microwave,Are most microwaves triangular?,no
military uniform,Does the military uniform have single color?,no
miniskirt,Does a miniskirt cover the knee?,no
minivan,Does the minivan have seats inside?,yes
minivan,Does the minivan run on the track?,no
minivan,Is the minivan made of wood?,no
missile,Is there fire behind the missile when it is launched?,yes
mixing bowl,Is the edge of the mixing bowl round?,yes
mobile home,Is mobile home a triangle?,no
monitor,Is a monitor round?,no
mortarboard,Is a mortarboard made of fabric?,yes
mortarboard,Which part of the body is the mortarboard put on?,head
motor scooter,Is the motor scooter made of plastic?,no
mousetrap,Is the mousetrap made up of rubber?,no
muzzle,Does the muzzle come with holes?,yes
nail,Is a nail hard or soft?,hard
neck brace,Where is the neck brace typically worn?,neck
neck brace,Is the neck brace curved?,yes
necklace,What body part is the necklace worn on?,neck
necklace,Is a necklace round?,yes
nipple,Is the nipple fitted on a feeding bottle?,yes
obelisk,Is the obelisk made of stone?,yes
odometer,Is the odometer circular?,yes
organ,Are organs made of metal?,yes
oscilloscope,Can the oscilloscope work without electricity?,no
overskirt,Does an overskirt colorful?,no
overskirt,What gender historically wore overskirts?,female
oxcart,Is the oxcart pulled by animals?,yes
oxcart,Is the oxcart moved by horses?,no
oxygen mask,Does the oxygen mask cover the nose?,yes
oxygen mask,Does the oxygen mask have a tube?,yes
oxygen mask,Can the oxygen mask cover the feet?,no
oxygen mask,Is the oxygen mask worn on the hand?,no
packet,Is the packet made of paper or plastic material?,yes
packet,Are packets colorful?,yes
packet,Is the packet a triangle?,no
paddle,Is a paddle wide at the bottom?,yes
paddle,Is the paddle made of cloth?,no
paddlewheel,Is the paddlewheel used in water?,yes
palace,Is the palace very grand in appearance?,yes
palace,Does a palace have numerous rooms?,yes
panpipe,Is the panpipe a musical instrument?,yes
panpipe,Is the panpipe rectangular?,no
paper towel,Is the paper towel rolled up?,yes
parallel bars,Are the gymnastic parallel bars made of cloth?,no
parallel bars,Do parallel bars meet each other at a 90 degree angle?,no
parallel bars,Are parallel bars straight?,yes
