category,question,answer
gas pump,Does the gas pump have a hose?,yes
gas pump,Does the gas pump have legs?,no
goblet,Do goblets have stems?,yes
go-kart,Does a go-kart have a seat?,yes
go-kart,Does a go-kart have 4 seats?,no
go-kart,Does the go-kart have steering wheel?,yes
golfcart,Does the golfcart have wheels?,yes
golfcart,Does the golfcart have steering wheel?,yes
golfcart,Does the golfcart have numbers on it?,no
gondola,Does the gondola have wheels?,no
gondola,Does a gondola have a pointed front?,yes
grand piano,Does the grand piano have legs?,yes
grand piano,Does the grand piano have handles?,no
grocery store,Does a grocery store have shelves?,yes
hair spray,Does the hair spray bottle have buttons?,yes
hair spray,Does the hair spray have many holes?,no
half track,Do half tracks have tank tracks in the back?,yes
half track,Does the half track have wheels?,yes
half track,Does the half track have a windshield?,yes
half track,Does the half track have a deck?,no
half track,Does the half track have a pointed end?,no
hamper,Do most hampers have a lid?,yes
hand blower,Does the hand blower have a handle?,yes
hand-held computer,Do these hand-held computers have a key pad?,yes
handkerchief,Do handkerchiefs usually have holes?,no
harp,Does the harp have strings?,yes
harvester,Does the harvester have tires?,yes
home theater,Does the home theater have a screen?,yes
hoopskirt,Does the hoopskirt have hoops?,yes
hoopskirt,Does the hoopskirt have buttons?,no
hoopskirt,Does the hoopskirt have holes?,no
hoopskirt,Does the hoopskirt have numbers?,no
horse cart,Do most of the horse carts have wheels?,yes
horse cart,Do most of the horse carts have strings?,yes
horse cart,Do most of the horse carts have a windshield?,no
horse cart,Do most of the horse carts have a digital meter on it?,no
hourglass,Does the hourglass have two joined bulbs?,yes
hourglass,Does an hourglass have a fat middle?,no
iPod,Does the iPod have a screen?,yes
iPod,Does the iPod have buttons on it?,yes
iPod,Does the iPod have wheels?,no
iPod,Does the iPod have handles?,no
iron,Does an iron have holes?,yes
iron,Does an iron have spots on it?,no
jack-o'-lantern,Does the jack-o'-lantern have light inside?,yes
jack-o'-lantern,Does the jack-o'-lantern have a lens?,no
jack-o'-lantern,Does the jack-o'-lantern have buttons?,no
jeep,Does a jeep have a windshield?,yes
jeep,Does a jeep have only two wheels?,no
jeep,Does a jeep have an opening?,no
jigsaw puzzle,Does a jigsaw puzzle have many pieces?,yes
jigsaw puzzle,Does the jigsaw puzzle have a flat surface?,yes
jigsaw puzzle,Does a jigsaw puzzle have a hole?,no
jigsaw puzzle,Does a jigsaw puzzle have a lid?,no
jinrikisha,Does the jinrikisha have wheels?,yes
jinrikisha,Does the jinrikisha have handles?,yes
jinrikisha,Does the jinrikisha have a windshield?,no
jinrikisha,Does the jinrikisha have a digital meter on it?,no
lab coat,Do most lab coats have pockets?,yes
lab coat,Does the lab coat have sleeves?,yes
lab coat,Does the lab coat have buttons?,yes
lab coat,Does the lab coat have holes?,no
lab coat,Does the lab coat have a screen?,no
lab coat,Does the lab coat have numbers on it?,no
ladle,Do ladles usually have handles?,yes
lampshade,Does the lampshade have a light bulb?,yes
laptop,Does the laptop have a keyboard?,yes
laptop,Does a laptop have wheels?,no
lawn mower,Do most lawn mowers have engines?,yes
lens cap,Do most lens caps have a brand name written on them?,yes
letter opener,Does the letter opener have handles?,yes
library,Do people have food in the library?,no
limousine,Does the limousine have headlights?,yes
limousine,Does the limousine have a red roof?,no
limousine,Does the limousine have buttons?,no
liner,Does the liner have windows?,yes
lipstick,Does the lipstick have a pointed top?,yes
Loafer,Does a loafer have an opening?,yes
Loafer,Do loafers have laces?,no
lotion,Does the lotion bottle have handles?,no
loupe,Does the loupe have lenses?,yes
lumbermill,Does the lumbermill have lots of woods?,yes
lumbermill,Does the lumbermill have a pointed top?,no
magnetic compass,Does the magnetic compass have numbers?,yes
magnetic compass,Does the magnetic compass have an opening?,no
mailbag,Do mailbags have handles?,yes
mailbag,Do mailbags have windows?,no
mailbag,Do mailbags have a display?,no
mailbox,Does the mailbox have an opening?,yes
mailbox,Does the mailbox have windows?,no
maillot(swim),Does a maillot(swim) have sleeves?,no
manhole cover,Does the manhole cover have holes?,yes
maraca,Does the maraca have a handle?,yes
marimba,Does the marimba have handles?,no
marimba,Does the marimba have stands?,yes
mask,Does the mask usually have a handle?,no
matchstick,Does the matchstick have an igniter?,yes
maze,Does the maze typically have a design?,yes
maze,Does the maze usually have only one path?,no
measuring cup,Do most measuring cups have handles?,yes
medicine chest,Does the medicine chest have shelves?,yes
military uniform,Does the military uniform have buttons?,yes
milk can,Does the milk can have a handle?,yes
milk can,Does the milk can have windows?,no
minibus,Does a minibus have windows?,yes
minibus,Does a minibus have a screen?,no
minibus,Does a minibus have wheels?,yes
minivan,Does a minivan have windows?,yes
minivan,Does a minivan have headlights?,yes
minivan,Does the minivan have an opening on its roof?,no
minivan,Does a minivan have petals?,no
missile,Does a missile have a pointed end?,yes
missile,Does the missile have wheels?,no
mitten,Does the mitten have five fingers on each?,no
mixing bowl,Does the mixing bowl have a handle?,no
mobile home,Does the mobile home have a roof?,yes
mobile home,Does a mobile home have a basement?,no
mobile home,Does the mobile home have a window?,yes
mobile home,Does a mobile home have wheels?,yes
mobile home,Does a mobile home have barrels?,no
Model T,Does the Model T have windows?,yes
Model T,Does the Model T not have wheels?,no
Model T,Does the Model T have a green roof?,no
modem,Does the modem have holes?,yes
monitor,Does the monitor have a screen?,yes
monitor,Does the monitor have holes?,no
moped,Does the moped have handlebars?,yes
moped,Does the moped have seats?,yes
moped,Does the moped have three wheels?,no
moped,Does the moped have lights?,yes
moped,Does the moped have shelves?,no
mortarboard,Does a mortarboard have spots on it?,no
mosque,Do most mosques have a dome?,yes
mosque,Does the mosque have numbers on it?,no
mosque,Does the mosque have tires?,no
mountain bike,Do mountain bikes have wheels?,yes
mountain bike,Does the mountain bike have a seat?,yes
mountain tent,Does the mountain tent have a roof?,yes
mountain tent,Does the mountain tent have wheels?,no
mountain tent,Does the mountain tent have a hole?,no
mouse,Does the mouse have a flat bottom?,yes
mouse,Does the mouse have an opening?,no
muzzle,Does the muzzle have holes?,yes
muzzle,Does the muzzle have buttons?,no
nail,Does the nail have handles?,no
notebook,Does a notebook have a keyboard?,yes
notebook,Does a notebook have a screen?,yes
notebook,Does a notebook have a built mouse?,no
notebook,Does a notebook have an opening?,no
ocarina,Does the ocarina have holes?,yes
odometer,Does the odometer have a needle?,yes
odometer,Does the odometer have numbers?,yes
odometer,Does the odometer have pointers?,yes
odometer,Does the odometer have a handle?,no
odometer,Does the odometer have a keypad?,no
oil filter,Does the oil filter have holes?,yes
oscilloscope,Does the oscilloscope have a screen?,yes
oscilloscope,Does the oscilloscope only have one button?,no
oxcart,Does the oxcart have wheels or not?,yes
oxygen mask,Does the oxygen mask have a nose clip?,yes
oxygen mask,Do the oxygen mask usually have a handle?,no
oxygen mask,Do oxygen masks usually have lights?,no
oxygen mask,Do oxygen masks usually have a lens?,no
packet,Does the packet have corners?,yes
padlock,Does a padlock have a hole?,yes
paintbrush,Does the paintbrush have a needle?,no
parking meter,Does the parking meter have a stand?,yes
parking meter,Does the parking meter have holes?,no
passenger car,Does a passenger car have windows?,yes
pay-phone,Can the pay-phone have a tires?,no
pay-phone,Can the pay-phone have shelves?,no
pencil box,Does the pencil box have an opening?,yes
pencil box,Does the pencil box have wheels?,no
pencil box,Does the pencil box have a handle?,no
pencil sharpener,Does the pencil sharpener have a razor inside?,yes
pencil sharpener,Does the pencil sharpener have a hole?,yes
pencil sharpener,Does the pencil sharpener have buttons?,no
pencil sharpener,Does the pencil sharpener have a keyboard?,no
Petri dish,Does a petri dish have a flat bottom?,yes
photocopier,Does the photocopier have buttons?,yes
photocopier,Does the photocopier have seats?,no
pickelhaube,Does the pickelhaube have a pointy top?,yes
pickelhaube,Does the pickelhaube have designed patterns?,yes
pickelhaube,Does the pickelhaube have headlights?,no
picket fence,Does the picket fence have vertical boards?,yes
pickup,Does the pickup have windows?,yes
pickup,Does the pickup have antennas?,no
piggy bank,Does the piggy bank have legs?,yes
piggy bank,Does a piggy bank have three legs?,no
piggy bank,Does a piggy bank have windows?,no
pill bottle,Do pill bottles have pills in them?,yes
pinwheel,Does the pinwheel usually have strings?,no
pinwheel,Does the pinwheel usually have a lid?,no
pitcher,Does the pitcher have a handle?,yes
plastic bag,Do most plastic bags have handles?,yes
plastic bag,Do most plastic bags have zippers?,no
pole,Does the pole have holes?,no
police van,Does a police van have lights?,yes
pool table,Does a pool table have only two pockets?,no
pop bottle,Does the pop bottle have handles?,no
pot,Does a pot have a flat bottom?,yes
pot,Does a pot have a sharp tip?,no
potter's wheel,Does the potter's wheel have a flat surface?,yes
power drill,Does the power drill have a sharp tip?,yes
power drill,Does the power drill have a handle?,yes
power drill,Does the power drill have a press button on the handle?,yes
power drill,Does the power drill have lights?,no
power drill,Does the power drill have a lid?,no
prayer rug,Does the prayer rug typically have a design?,yes
prayer rug,Does the prayer rug have buttons?,no
prayer rug,Does the prayer rug have a hole?,no
printer,Do printers have plastic coverings?,yes
printer,Do the printer have a handle?,no
prison,Does the prison have bars?,yes
projectile,Does the projectile have wings?,yes
projector,Does the projector have a lens?,yes
purse,Does a purse always have a handle?,no
quill,Does the quill have a metal body?,no
racer,Does a racer always have a windshield?,yes
racket,Does the racket have handles?,yes
radio telescope,Does the radio telescope always have a base?,yes
rain barrel,Does the rain barrel have an opening?,yes
rain barrel,Does the rain barrel have handles?,no
reflex camera,Does the reflex camera have a lens?,yes
reflex camera,Does the reflex camera have buttons?,yes
reflex camera,Does the reflex camera have handles?,yes
refrigerator,Does the refrigerator have light inside?,yes
remote control,Does the remote control have buttons?,yes
revolver,Does the revolver have a trigger?,yes
revolver,Does the revolver have a hole?,yes
revolver,Does the revolver have a glass handle?,no
rifle,Does the rifle have a trigger?,yes
rocking chair,Does the rocking chair have armrests?,yes
rocking chair,Do most of the rocking chairs have backrests?,yes
rocking chair,Does a rocking chair usually have legs?,yes
rocking chair,Does the rocking chair have pockets?,no
rocking chair,Does the rocking chair have a hood?,no
running shoe,Do running shoes always have laces?,yes
safe,Does the safe have a lock?,yes
safe,Do most safes have a keypad?,yes
safe,Does the safe have shelves inside?,yes
safe,Do most safes have wheels?,no
safe,Does the safe have windows?,no
saltshaker,Does the saltshaker have holes?,yes
sandal,Does the sandal have holes?,yes
scale,Does the scale have a digital meter on it?,yes
school bus,Does the school bus have windows?,yes
school bus,Does the school bus have wheels?,yes
school bus,Does the school bus have a pointed top?,no
schooner,Does a schooner usually have one sail?,no
scoreboard,Does the scoreboard have numbers?,yes
screen,Does the screen have corners?,yes
screw,Do most screws have openings?,no
screwdriver,Do both ends of a screwdriver have a flat bottom?,no
sewing machine,Does a sewing machine have a base?,yes
sewing machine,Does the old sewing machine have wheels?,yes
sewing machine,Does a sewing machine have mirrors?,no
shield,Does a shield have a handle?,yes
shield,Does a shield have openings?,no
shoe shop,Does a shoe shop have multiple shoes?,yes
shopping basket,Does a shopping basket have wheels?,no
shopping basket,Does the shopping basket have a handle?,yes
shopping basket,Does the shopping basket have an opening?,yes
shopping basket,Does the shopping basket have windows?,no
shopping cart,Does the shopping cart have handles?,yes
shopping cart,Does the shopping cart usually have wheels?,yes
shovel,Does a shovel have a handle?,yes
shower curtain,Does the shower curtain have hooks?,yes
shower curtain,Does the shower curtain have handles?,no
ski mask,Does a ski mask have holes?,yes
sleeping bag,Does a sleeping bag have an opening?,yes
sleeping bag,Does a sleeping bag have a screen?,no
slide rule,Do slide rules have numbers on them?,yes
slot,Does the slot have designed patterns?,yes
snowmobile,Does the snowmobile have wheels?,no
snowmobile,Does the snowmobile have windshields?,yes
space shuttle,Do space shuttles have wings?,yes
space shuttle,Do space shuttles have openings?,no
spatula,Does the spatula have a handle?,yes
spatula,Does a spatula have holes?,yes
spatula,Does a spatula have a sharp tip?,no
speedboat,Does a speedboat have a pointed front?,yes
speedboat,Do most speedboats have roofs?,no
spindle,Does a spindle have handles?,yes
sports car,Does a sports car have a low profile?,yes
stage,Does the stage usually have lights?,yes
steam locomotive,Does the steam locomotive have chimney?,yes
steel arch bridge,Does the steel arch bridge have pillars?,yes
steel drum,Does the steel drum have strings?,no
stopwatch,Does a stopwatch have numbers on it?,yes
stove,Does a stove have an opening?,yes
strainer,Do the strainers have holes?,yes
strainer,Does a strainer have a basin?,yes
strainer,Do the strainers have a lid?,no
strainer,Do the strainers have a flat surface?,no
streetcar,Does the streetcar have windshields?,yes
streetcar,Does the streetcar have wheels?,yes
streetcar,Does the streetcar have leaves?,no
stupa,Does a stupa dome have a pointed top?,yes
stupa,Does the stupa have an opening on its roof?,no
sundial,Does a sundial have numbers on it?,yes
sunscreen,Does the sunscreen have handles?,no
suspension bridge,Do suspension bridges have wire cords?,yes
sweatshirt,Does a sweatshirt have armholes?,yes
sweatshirt,Does the sweatshirt have a hood?,yes
sweatshirt,Does the sweatshirt have buttons on it?,no
swimming trunks,Do swimming trunks have holes?,yes
swimming trunks,Do swimming trunks have sleeves?,no
switch,Does the switch have buttons?,yes
switch,Does the switch have lights on it?,no
syringe,Does the syringe have numbers?,yes
syringe,Does the syringe have a needle?,yes
syringe,Does the syringe have corners?,no
syringe,Does the syringe have a flat surface?,no
tank,Does a tank have wheels?,yes
tank,Does the tank have windows?,no
tank,Does the tank have headlights?,no
tape player,Does the tape player have handles?,yes
tape player,Does the tape player have buttons?,yes
tape player,Does the tape player have armrests?,no
teapot,Do teapots have lids?,yes
teapot,Do teapots have spouts?,yes
teapot,Does the teapot have handles?,yes
teapot,Does the teapot have a screen?,no
teapot,Does the teapot have light inside?,no
television,Does the television have a screen?,yes
thatch,Does the thatch have a red roof?,no
thresher,Do threshers have wheels?,yes
thresher,Does the thresher have an axle?,yes
thresher,Do threshers have a windshield?,no
thresher,Does the thresher have a seat?,no
throne,Does the throne only have two legs?,no
toaster,Do toasters usually have wheels?,no
tobacco shop,Does the tobacco shop have shelves?,yes
totem pole,Do totem poles have decorations?,yes
totem pole,Do totem poles have a seat?,no
tractor,Does a tractor have a seating area?,yes
tractor,Does a tractor have a steering wheel?,yes
tractor,Does a tractor have only two wheels?,no
trailer truck,Does the trailer truck have wheels?,yes
trench coat,Does the trench coat have buttons?,yes
tricycle,Does the tricycle have only two wheels?,no
trimaran,Does the trimaran have wheels?,no
tripod,Does the tripod have four legs?,no
trombone,Does the trombone have holes?,yes
trombone,Does the trombone have two speakers?,no
vacuum,Does the vacuum have a sucking tube?,yes
vacuum,Does the vacuum have handles?,yes
vacuum,Does the vacuum have a lens?,no
vending machine,Do most vending machines have glass windows?,yes
vending machine,Does the vending machine have wheels?,no
viaduct,Does the viaduct have more than one arch?,yes
viaduct,Does the viaduct have an opening between it?,yes
viaduct,Does the viaduct have arches?,yes
viaduct,Does the viaduct have a roof?,no
viaduct,Does the viaduct have antennas?,no
violin,Does the violin have strings?,yes
waffle iron,Does the waffle iron have handles?,yes
wall clock,Does the wall clock have numbers on it?,yes
wall clock,Do most wall clocks have eyes?,no
wall clock,Do most wall clocks have fingerboards?,no
wallet,Do wallets have separate sections?,yes
wallet,Does the wallet have a mirror?,no
warplane,Does a warplane have wheels?,yes
warplane,Does a warplane have wings?,yes
warplane,Does a warplane have a flat base?,no
warplane,Does a warplane have a stone base?,no
washer,Does every washer have a window?,no
water bottle,Does a water bottle have a hole?,yes
water bottle,Does a water bottle have handles?,no
water bottle,Does a water bottle have a metal body?,no
water jug,Do most water jugs have a handle?,yes
whiskey jug,Does a whiskey jug have a handle?,yes
whiskey jug,Does a whiskey jug have zippers?,no
whiskey jug,Does a whiskey jug have engines?,no
whistle,Does the whistle have antennas?,no
wine bottle,Does the wine bottle have a slender neck?,yes
wine bottle,Does the wine bottle have a flat bottom?,yes
wine bottle,Does the wine bottle have a light bulb?,no
wine bottle,Does the wine bottle have a pressing button at the bottom?,no
wok,Does the wok have handles?,yes
wok,Does the wok have eyes?,no
yurt,Does the yurt have a flat top?,no
web site,Do many web sites have menus?,yes
street sign,Does the street sign have words on it?,yes
book jacket,Does a book jacket have headrests?,no
bagel,Does a bagel always have a hole?,yes
pretzel,Do most pretzels have two circles?,yes
pretzel,Do most pretzels have leaves?,no
hotdog,Do most hotdogs have toppings?,yes
hotdog,Does the hotdog have apples in it?,no
head cabbage,Does the head cabbage have leaves?,yes
spaghetti squash,Does the spaghetti squash have seeds?,yes
spaghetti squash,Does the spaghetti squash have holes?,no
butternut squash,Does the butternut squash have seeds?,yes
butternut squash,Does the butternut squash have spots on it?,no
artichoke,Does the artichoke have petals?,yes
orange,Does the orange have an opening?,no
lemon,Does the lemon have a pointed end?,yes
lemon,Do lemons have a shiny surface?,yes
lemon,Do lemons have cheese in it?,no
pineapple,Does the pineapple have spikes?,yes
pineapple,Does the pineapple have a shiny surface?,no
banana,Does the banana have skin?,yes
banana,Does the banana have many pieces?,no
custard apple,Does the custard apple have seeds?,yes
pomegranate,Does a pomegranate have green seeds?,no
pizza,Does a pizza have a sharp bottom?,no
pizza,Does the pizza have cheese in it?,yes
cup,Does the cup have a handle?,yes
cup,Does the cup have eyes?,no
cliff,Does the cliff have grass on it?,yes
cliff,Do most cliffs have fountains on them?,no
coral reef,Does the coral reef have a bumpy surface?,yes
promontory,Does the promontory have rocks?,yes
seashore,Do some seashores have rocks?,yes
seashore,Do most seashores have green sand?,no
seashore,Does the seashore have icebergs?,no
volcano,Does the volcano have a roof?,no
rapeseed,Does the rapeseed have leaves?,yes
daisy,Does the daisy have petals?,yes
daisy,Does a daisy have three petals?,no
acorn,Does an acorn have holes on it?,no
buckeye,Does the buckeye have a shell?,yes
agaric,Does the agaric have a rectangular top?,no
agaric,Does the agaric have a rugged surface?,yes
gyromitra,Does a gyromitra have a spotted cover?,no
hen-of-the-woods,Do hen-of-the-woods have multiple layers?,yes
hen-of-the-woods,Do hen-of-the-woods have stems?,yes
hen-of-the-woods,Do hen-of-the-woods have lots of woods?,no
ground beetle,Do ground beetles have shiny shells?,yes
German short-haired pointer,Does the German short-haired pointer have a short snout?,no
German short-haired pointer,Does the German short-haired pointer have a long tail?,no
German short-haired pointer,Does the German short-haired pointer have horns?,no
German short-haired pointer,Does the German short-haired pointer have scales?,no
vulture,Are there many feathers on the head of a vulture?,no
Arctic fox,Is the Arctic fox furry?,yes
tabby,Are most tabbies striped?,yes
tiger cat,Is the tiger cat striped?,yes
Siamese cat,Is the Siamese cat furry?,yes
snow leopard,Are there any spots on the fur of the snow leopard?,yes
leaf beetle,Is the leaf beetle furry?,no
coho,Is the coho furry?,no
analog clock,Are there always numbers on the analog clock?,yes
baseball,Are there stitchings on the baseball?,yes
baseball,Are there red stitches on most baseballs?,yes
baseball,Is there an opening on the baseball?,no
baseball,Is there a handle on the baseball?,no
buckle,Is there a head portrait on the surface of the buckle?,no
cloak,Is the cloak normally spotted?,no
cloak,Are all cloaks furry?,no
combination lock,Are there always numbers written on the combination lock?,yes
scale,Are there screens on most scales?,yes
scale,Does it usually show numbers on the scale?,no
thatch,Is there always a balloon on the top of the thatch?,no
viaduct,Are there windows on the viaduct?,no
volcano,Are there many plants near a volcano?,no
Saluki,Does the Saluki have slim legs?,yes
French bulldog,Does the French bulldog have long legs?,no
Cardigan,Do Cardigans have erect ears?,yes
jaguar,Does the jaguar have a spotted pattern on its body?,yes
digital clock,Are there numbers on the digital clock?,yes
typewriter keyboard,Are there letters on the typewriter keyboard keys?,yes
